Typhoon,Ave. Stm Speed (knot),Date Range,G0 Distance (km),G0 (Boat Diff%),G1 Distance (km),G1 (Boat Diff%),G2 Distance (km),G2 (Boat Diff%),G3 Distance (km),G3 (Boat Diff%),G4 Distance (km),G4 (Boat Diff%)
Ave Daily Boats,,,,70.0,,34.0,,154.0,,86.0,,1.0
Talim,7.38,2023-07-13 to 2023-07-16,938.58,-100.0,1140.75,-35.29,689.18,-86.36,1269.1,36.05,1081.05,-100.0
Doksuri,7.12,2023-07-22 to 2023-07-25,1350.15,-81.43,1343.85,38.24,654.65,-74.03,1181.15,81.4,679.12,-100.0
Saola,4.98,2023-08-22 to 2023-08-31,1280.29,32.86,1380.12,-32.35,743.86,-98.7,1368.69,-12.79,1006.36,-100.0
Koinu,5.49,2023-10-01 to 2023-10-08,1389.68,142.86,1593.19,79.41,1086.19,-92.86,1668.06,-98.84,1364.9,-100.0
Jelawat,7.7,2023-12-17 to 2023-12-18,1228.65,-11.43,919.7,-76.47,681.85,-39.61,507.75,-69.77,293.9,-100.0
