row_id,SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY,TRACK_TYPE,DIST2LAND,LANDFALL,IFLAG,USA_AGENCY,USA_ATCFID,USA_LAT,USA_LON,USA_STATUS,USA_WIND,USA_PRES,USA_SSHS,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_POCI,USA_ROCI,USA_RMW,TOK_LAT,TOK_LON,TOK_GRADE,TOK_PRES,TOK_R50_DR,TOK_R30_DR,CMA_LAT,CMA_LON,CMA_CAT,CMA_WIND,CMA_PRES,HKO_LAT,HKO_LON,HKO_CAT,HKO_WIND,HKO_PRES,KMA_CAT,NEW_CI,REU_TNUM,REU_CI,BOM_TNUM,BOM_CI,STORM_SPD,STORM_DR,year,month,day,hour,min,geometry,date_only
14220,2024201N12133,2024,31,WP,MM,GAEMI,2024-07-19 00:00:00,TS,11.6,133.2,,1004.0,tokyo,US-PROVISIO,810,771.0,_OO____________,,,,,,,,-5,,,,,,,,11.4,133.1,2.0,1004.0,0.0,0.0,11.8,133.3,1.0,25.0,1004.0,,,,,,,-999.9,-999.9,-999.9,-999.9,-999.9,14,320,2024,7,19,0,0,POINT (133.1999969482422 11.600000381469727),2024-07-19
14224,2024201N12133,2024,31,WP,MM,GAEMI,2024-07-19 12:00:00,TS,13.9,131.3,,1006.0,tokyo,US-PROVISIO,656,596.0,_OOOO__________,,,,,,,,-5,,,,,,,,14.1,131.3,2.0,1006.0,0.0,0.0,13.7,131.4,1.0,25.0,1004.0,13.3,131.0,TD,25.0,1000.0,TD,-999.9,-999.9,-999.9,-999.9,-999.9,15,320,2024,7,19,12,0,POINT (131.3000030517578 13.900000381469727),2024-07-19
14228,2024201N12133,2024,31,WP,MM,GAEMI,2024-07-20 00:00:00,TS,15.2,129.1,35.0,1002.0,tokyo,US-PROVISIO,514,486.0,OOOOO__________,tcvitals,WP052024,15.0,129.7,,29.0,1002.0,-1,,,,,1008.0,148.0,48.0,15.5,128.5,3.0,1002.0,0.0,9.0,15.3,128.8,1.0,32.0,1000.0,15.2,128.9,TD,30.0,998.0,,-999.9,-999.9,-999.9,-999.9,-999.9,32,65,2024,7,20,0,0,POINT (129.10000610351562 15.200000762939453),2024-07-20
